district_name,buildings,volume,usage_area,apartments,living_area,estimated_costs
Mitte,1,1,0.7,1,1.2,328
Friedrichshain-Kreuzberg,2,2,–,2,5.3,624
Pankow,180,116,29.3,189,255.3,45480
Charlottenburg-Wilmersdorf,9,9,6,10,16.9,4978
Spandau,139,116,58.8,143,215.6,37179
Steglitz-Zehlendorf,38,36,20.9,40,61.9,15393
Tempelhof-Schöneberg,24,19,8.8,26,35,6394
Neukölln,32,26,13,36,47.3,8870
Treptow-Köpenick,190,124,40.8,206,249.7,38589
Marzahn-Hellersdorf,238,158,48.7,247,319.1,56375
Lichtenberg,55,34,11.1,55,76.6,11598
Reinickendorf,82,70,31.5,90,129.1,23401
