type,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
Wohngebäude,58029,50106,16397,17450,16259,2890
Wohngebäude mit 1 Wohnung,–,2404,789,697,918,195
Wohngebäude mit 2 Wohnungen,–,398,108,116,174,38
Wohngebäude mit 3 o. m. Wohnungen,–,45433,14653,16019,14761,2591
Wohnheime,1957,1871,847,618,406,66
Wohngebäude mit Eigentumswohnungen,16875,14545,5325,5129,4091,346
Öffentliche Bauherren,9446,8923,2482,3357,3084,92
Unternehmen,41775,36222,12413,12721,11088,2461
Wohnungsunternehmen,29408,25434,7876,9138,8420,2237
Immobilienfonds,4077,3350,1413,748,1189,48
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,550,539,419,54,66,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7740,6899,2705,2781,1413,176
Private Haushalte,5851,4154,1412,1192,1550,337
Organisationen ohne Erwerbszweck,957,807,90,180,537,–
II. Halbjahr 2023,6151,5584,36,306,5242,–
I.  Halbjahr 2023,5907,5154,63,1923,3168,9
II. Halbjahr 2022,7947,7375,1712,3598,2065,34
I.  Halbjahr 2022,7138,6143,1436,2389,2318,102
Jahr 2021,11902,10478,5007,3833,1638,319
2020 und früher,18984,15372,8143,5401,1828,2426
Mitte,6136,5144,1708,2138,1298,977
Friedrichshain-Kreuzberg,3893,3210,1607,1134,469,5
Pankow,5428,4512,1438,961,2113,191
Charlottenburg-Wilmersdorf,3383,2293,524,504,1265,140
Spandau,5672,4844,2658,521,1665,68
Steglitz-Zehlendorf,2795,1813,646,540,627,17
Tempelhof-Schöneberg,3416,2810,1269,724,817,269
Neukölln,4024,3385,279,1884,1222,14
