type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,1637,8878,8567,14633,9319.2,36055,3583047
Wohngebäude zusammen,1436,4720,1521.7,14431,9189,35623,2014484
Wohngebäude mit 1 Wohnung,824,601,223.7,824,1181.1,4501,249872
Wohngebäude mit 2 Wohnungen,82,86,38.5,164,170.4,633,33026
Wohngebäude mit 3 o. m. Wohnungen,513,3861,1166.2,12434,7525.3,29273,1637290
Wohnheime,17,171,93.3,1009,312.3,1216,94296
Wohngebäude mit Eigentumswohnungen,155,1179,289.8,3307,2296.4,8489,505985
Öffentliche Bauherren,172,1421,570.1,4985,2781.7,11268,627703
Unternehmen,465,2504,616,7893,4900.3,18668,1041593
Wohnungsunternehmen,382,1985,460.1,6363,3939.3,15097,814003
Immobilienfonds,29,226,46.2,597,425.4,1566,107891
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,4,21,5.4,67,38.6,140,7277
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",50,272,104.3,866,497,1865,112422
Private Haushalte,788,736,299.6,1369,1413.9,5332,316491
Organisationen ohne Erwerbszweck,11,60,36,184,93.2,355,28697
Nichtwohngebäude,201,4158,7045.3,202,130.2,432,1568563
Anstaltsgebäude,4,44,73.7,13,6.8,38,23243
Büro- und Verwaltungsgebäude,47,2103,3971.3,1,1,3,895070
Landwirtschaftliche Betriebsgebäude,5,10,19.5,–,–,–,1280
Nichtlandwirtschaftliche Betriebsgebäude,86,1319,1955,82,87.2,269,336729
Fabrik- und Werkstattgebäude,19,253,362.5,3,4.2,13,91249
Handelsgebäude,12,143,319.5,2,2.4,9,38325
Warenlagergebäude,19,359,334.5,2,1.1,6,23009
Hotels und Gaststätten,11,224,356.1,75,79.6,241,106085
Sonstige Nichtwohngebäude,59,681,1025.9,106,35.3,122,312241
Ausgewählte Infrastrukturgebäude,67,774,1153.5,119,42.1,160,353320
Öffentliche Bauherren,53,815,1251.8,99,29,101,365736
Unternehmen,123,3167,5532.6,100,98.9,322,1106638
Wohnungsunternehmen,32,517,997.7,77,82.2,251,181263
Immobilienfonds,12,460,974.9,–,–,–,193817
"Land- und Forstw., Tierh., Fischerei",2,1,2.3,–,–,–,310
Produzierendes Gewerbe,15,373,488.3,2,3.3,8,76654
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",62,1816,3069.5,21,13.4,63,654594
Private Haushalte,8,10,19.2,2,1.4,6,2262
Organisationen o. Erwerbszweck,17,166,241.7,1,1,3,93927
