type_index,type_parent_index,type,buildings,district_heating,block_heating,central_heating,floor_heating,single_room_heating,without_heating
0,-1,residential_buildings,1589,457,95,1005,24,8,0
1,0,apartments,14704,8951,2027,3666,33,27,0
2,1,residential_buildings_with_1_apartment,935,95,15,799,19,7,0
3,1,residential_buildings_with_2_apartments,55,0,0,53,2,0,0
4,1,residential_buildings_with_3_or_more_apartments,588,361,76,148,3,0,0
5,4,apartments,12812,8741,1805,2256,10,0,0
6,1,dormitories,11,1,4,5,0,1,0
7,6,apartments,847,115,207,505,0,20,0
8,1,residential_buildings_with_condominium,172,102,19,50,1,0,0
9,8,apartments,3298,2445,385,466,2,0,0
10,0,non_residential_buildings,155,61,3,58,2,14,17
11,10,volume_1000_m3,3074,2461,21,466,12,29,85
12,10,institution_buildings,7,5,0,0,1,1,0
13,12,volume_1000_m3,173,167,0,0,2,3,0
14,10,office_and_administration_buildings,36,20,1,15,0,0,0
15,14,volume_1000_m3,1497,1370,0,127,0,0,0
16,10,agricultural_buildings,1,0,0,0,0,1,0
17,16,volume_1000_m3,1,0,0,0,0,1,0
18,10,non_agricultural_buildings,65,14,2,29,0,5,15
19,18,volume_1000_m3,1188,783,21,283,0,17,83
20,18,factory_and_workshop_buildings,15,2,1,8,0,3,1
21,20,volume_1000_m3,101,24,6,58,0,12,1
22,18,commercial_buildings,19,3,1,13,0,1,1
23,22,volume_1000_m3,358,166,15,160,0,5,12
24,18,warehouse_buildings,14,4,0,2,0,0,8
25,24,volume_1000_m3,176,83,0,56,0,0,36
26,18,hotels_and_restaurants,7,3,0,3,0,1,0
27,26,volume_1000_m3,103,99,0,4,0,0,0
28,18,other_non_residential_buildings,46,22,0,14,1,7,2
29,28,volume_1000_m3,215,141,0,56,9,7,2
30,10,selected_infrastructure_buildings,55,27,0,15,2,8,3
31,30,volume_1000_m3,394,308,0,56,12,15,3
