type_index,type_parent_index,type,buildings,steel,reinforced_concrete,bricks,sand_lime_bricks,aerated_concrete,light_concrete,wood,other
0,-1,residential_buildings,1868,3,436,193,578,445,21,178,14
1,0,volume_1000_m3,5065,42,2099,382,1891,448,24,169,10
2,0,residential_buildings_with_1_apartment,1094,1,129,128,273,374,18,158,13
3,2,volume_1000_m3,734,1,84,89,176,264,11,102,8
4,0,residential_buildings_with_2_apartments,79,0,12,14,8,39,0,5,1
5,4,volume_1000_m3,78,0,14,10,10,37,0,5,2
6,0,residential_buildings_with_3_or_more_apartments,683,0,285,51,297,32,3,15,0
7,6,volume_1000_m3,4083,0,1873,283,1705,147,13,62,0
8,-1,dormitories,12,2,10,0,0,0,0,0,0
9,-1,volume_1000_m3,170,41,129,0,0,0,0,0,0
10,0,residential_buildings_with_condominium,243,0,113,26,95,5,0,4,0
11,10,volume_1000_m3,1619,0,876,166,559,15,0,4,0
12,-1,non_residential_buildings,182,25,92,11,22,11,1,17,3
13,12,volume_1000_m3,3993,494,2941,97,182,57,1,93,127
14,12,institution_buildings,3,1,1,0,1,0,0,0,0
15,14,volume_1000_m3,69,4,38,0,27,0,0,0,0
16,12,office_and_administration_buildings,45,4,31,1,2,2,1,3,1
17,16,volume_1000_m3,1069,66,954,10,8,6,1,19,3
18,12,algricultural_buildings,0,0,0,0,0,0,0,0,0
19,18,volume_1000_m3,0,0,0,0,0,0,0,0,0
20,12,non_algricultural_buildings,80,16,45,4,8,4,0,2,1
21,20,volume_1000_m3,2481,411,1820,27,76,26,0,1,120
22,20,factory_and_workshop_buildings,25,7,12,2,2,2,0,0,0
23,22,volume_1000_m3,484,205,252,6,6,15,0,0,0
24,20,commercial_buildings,10,1,7,2,0,0,0,0,0
25,24,volume_1000_m3,207,5,181,21,0,0,0,0,0
26,20,warehouse_buildings,16,7,9,0,0,0,0,0,0
27,26,volume_1000_m3,1130,97,1033,0,0,0,0,0,0
28,20,hotels_and_restaurants,13,0,9,0,1,1,0,1,1
29,28,volume_1000_m3,327,0,203,0,1,2,0,1,120
30,12,other_non_residential_buildings,54,4,15,6,11,5,0,12,1
31,30,volume_1000_m3,375,14,130,60,70,25,0,73,4
32,12,selected_infrastructure_buildings,61,6,18,6,13,5,0,12,1
33,32,volume_1000_m3,461,26,172,60,102,25,0,73,4
