type_index,type_parent_index,type,unit,buildings,execution_time_below_6_months,execution_time_between_6_12_months,execution_time_between_12_18_months,execution_time_between_18_24_months,execution_time_between_24_30_months,execution_time_between_30_36_months,execution_time_above_36_months,average_execution_time
0,-1,residential_buildings,,1868,22.0,217,397,350,176,222,484,28
1,0,apartments,,14134,393.0,239,1210,2260,1570,3024,5438,       
2,1,residential_buildings_with_1_apartment,,1094,15.0,203,324,227,86,64,175,23
3,1,residential_buildings_with_2_apartments,,79,1.0,12,25,17,9,6,9,22
4,1,residential_buildings_with_3_or_more_apartments,,683,4.0,2,47,102,77,151,300,36
5,4,apartments,,12010,41.0,12,816,1601,1449,2846,5245,       
6,1,dormitories,,12,2.0,0,1,4,4,1,0,20
7,6,apartments,,872,335.0,0,20,398,17,102,0,       
8,1,residential_buildings_with_condominium,,243,2.0,1,8,45,22,30,135,40
9,8,apartments,,4265,25.0,9,96,674,330,604,2527,       
10,1,public_builders,buildings,161,0.0,0,4,13,24,95,25,32
11,1,public_builders,apartments,3347,0.0,0,89,508,554,1730,466,       
12,1,companies,buildings,900,6.0,53,128,179,79,93,362,33
13,1,companies,apartments,9245,366.0,61,812,1477,898,1227,4404,       
14,12,housing_companies,buildings,682,4.0,49,68,122,61,86,292,34
15,12,housing_companies,apartments,7109,31.0,57,180,1232,802,1119,3688,       
16,12,real_estate_funds,buildings,26,0.0,0,0,1,2,1,22,40
17,12,real_estate_funds,apartments,197,0.0,0,0,3,16,19,159,       
18,12,manufacturing_industry,buildings,73,0.0,0,49,24,0,0,0,17
19,12,manufacturing_industry,apartments,796,0.0,0,621,175,0,0,0,       
20,12,trade_banking_services_insurance_transport_and_communications,buildings,119,2.0,4,11,32,16,6,48,36
21,12,trade_banking_services_insurance_transport_and_communications,apartments,1143,335.0,4,11,67,80,89,557,       
22,1,private_households,buildings,804,16.0,164,265,157,73,34,95,21
23,1,private_households,apartments,1527,27.0,178,309,270,118,67,558,       
24,1,non_profit_organizations,buildings,3,0.0,0,0,1,0,0,2,39
25,1,non_profit_organizations,apartments,15,0.0,0,0,5,0,0,10,       
